index;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14
150;1;0;0;0;0;0;0;0;0;0;0;0;0;0
151;1;0;0;0;0;0;0;0;0;0;0;0;0;0
152;1;5;5;4;6;7;6;5;6;8;8;7;0;0
153;7;8;7;7;8;8;8;7;8;8;8;8;6;7
154;9;10;10;10;9;10;10;8;10;11;10;10;8;7
155;12;9;10;10;13;12;11;10;11;13;11;11;10;11
156;15;13;7;13;11;11;10;10;11;14;10;9;11;9
157;12;8;7;13;12;11;10;8;8;10;12;9;12;11
158;11;12;8;12;11;12;8;10;9;9;10;6;10;10
159;9;8;6;11;11;12;6;10;10;7;8;4;11;12
160;10;8;6;10;7;10;6;8;8;7;5;3;9;12
161;6;4;4;8;7;9;6;5;4;6;3;3;6;8
162;6;7;1;7;7;2;5;1;8;4;3;2;3;4
163;3;3;0;5;4;1;3;2;5;3;3;2;2;4
164;2;2;0;1;4;2;2;2;2;2;2;1;0;2
165;1;2;0;2;3;2;2;1;3;2;2;1;0;1
166;1;1;0;2;0;0;2;1;0;2;2;0;0;1
167;1;1;0;1;0;0;2;1;0;2;2;0;0;1
168;1;1;0;1;0;0;2;1;1;2;1;0;0;1
